province;red;green;blue;
1851;82;32;32;Ribatejo
1852;210;34;79;Tokachi
1853;82;36;126;Kozani
1854;210;38;173;Negev
1855;82;40;32;Sidon
1856;211;42;79;Abkhazia
1857;83;44;126;Lauenburg
1858;211;46;173;Stettin
1859;83;48;32;Torun
1860;211;50;79;Norfolk
1861;83;52;126;Derby
1862;211;54;173;Cremona
1863;84;56;32;Graz
1864;212;58;79;Somogy
1865;84;60;126;Ghent
1866;212;62;173;Namur 
1867;84;64;32;Freiburg
1868;212;66;79;Augsburg
1869;84;68;126;Zürich
1870;213;70;173;S:t Gallen
1871;85;72;32;Wallis
1872;86;84;126;Ulm
1873;85;76;126;Chur
1874;213;78;173;Bremen
1875;142;110;192;Turin
1876;213;82;79;Frankfurt
1877;86;92;126;Charolais
1878;214;86;173;Aachen
1879;86;88;32;Alencon
1880;214;90;79;Sundgau
1881;213;74;79;St. Barthélemy
1882;214;94;173;Bône
1883;86;96;32
1884;215;98;79
1885;87;100;126
1886;215;102;173
1887;87;104;32
1888;215;106;79
1889;87;108;126
1890;215;110;173
1891;88;112;32
1892;216;114;79
1893;88;116;126
1894;216;118;173
1895;88;120;32
1896;216;122;79
1897;88;124;126
1898;217;126;173
1899;89;128;32
1900;217;130;79
1901;89;132;126
1902;217;134;173
1903;89;136;32
1904;217;138;79
1905;90;140;126
1906;218;142;173
1907;90;144;32
1908;218;146;79
1909;90;148;126
1910;218;150;173
1911;90;152;32
1912;219;154;79
1913;91;156;126
1914;219;158;173
1915;91;32;32
1916;219;34;79
1917;91;36;126
1918;219;38;173
1919;92;40;32
1920;220;42;79
1921;92;44;126
1922;220;46;173
1923;92;48;32
1924;220;50;79
1925;92;52;126
1926;221;54;173
1927;93;56;32
1928;221;58;79
1929;93;60;126
1930;221;62;173
1931;93;64;32
1932;221;66;79
1933;94;68;126
1934;222;70;173
1935;94;72;32
1936;222;74;79
1937;94;76;126
1938;222;78;173
1939;94;80;32
1940;223;82;79
1941;95;84;126
1942;223;86;173
1943;95;88;32
1944;223;90;79
1945;95;92;126
1946;223;94;173
1947;96;96;32
1948;224;98;79
1949;96;100;126
1950;224;102;173
1951;96;104;32
1952;224;106;79
1953;96;108;126
1954;225;110;173
1955;97;112;32
1956;225;114;79
1957;97;116;126
1958;225;118;173
1959;97;120;32
1960;225;122;79
1961;98;124;126
1962;226;126;173
1963;98;128;32
1964;226;130;79
1965;98;132;126
1966;226;134;173
1967;98;136;32
1968;227;138;79
1969;99;140;126
1970;227;142;173
1971;99;144;32
1972;227;146;79
1973;99;148;126
1974;227;150;173
1975;100;152;32
1976;228;154;79
1977;100;156;126
1978;228;158;173
1979;100;32;32
1980;228;34;79
1981;100;36;126
1982;229;38;173
1983;101;40;32
1984;229;42;79
1985;101;44;126
1986;229;46;173
1987;101;48;32
1988;229;50;79
1989;102;52;126
1990;230;54;173
1991;102;56;32
1992;230;58;79
1993;102;60;126
1994;230;62;173
1995;102;64;32
1996;231;66;79
1997;103;68;126
1998;231;70;173
1999;103;72;32
2000;231;74;79
2001;103;76;126
2002;231;78;173
2003;104;80;32
2004;232;82;79
2005;104;84;126
2006;232;86;173
2007;104;88;32
2008;232;90;79
2009;104;92;126
2010;233;94;173
2011;105;96;32
2012;233;98;79
2013;105;100;126
2014;233;102;173
2015;105;104;32
2016;233;106;79
2017;106;108;126
2018;234;110;173
2019;106;112;32
2020;234;114;79
2021;106;116;126
2022;234;118;173
2023;106;120;32
2024;235;122;79
2025;107;124;126
2026;235;126;173
2027;107;128;32
2028;235;130;79
2029;107;132;126
2030;235;134;173
2031;108;136;32
2032;236;138;79
2033;108;140;126
2034;236;142;173
2035;108;144;32
2036;236;146;79
2037;108;148;126
2038;237;150;173
2039;109;152;32
2040;237;154;79
2041;109;156;126
2042;237;158;173
2043;109;32;32
2044;237;34;79
2045;110;36;126
2046;238;38;173
2047;110;40;32
